units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
show me recipes posted before e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
show recipes that has e0 as its ingredient	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-requires string-= e0
which recipes require more than two ingredients	SW.countComparative entity-en.recipe string-requires string-> number2 entity-en.ingredient
what recipes posting date is greater than d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity d0 )
which recipes have the most number of meals	SW.countSuperlative entity-en.recipe string-max string-meal entity-en.meal
show me meals with more than two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-> number2 entity-en.recipe
preparation time of recipe  not more than that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipes posting date is greater than that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
which recipe was not posted in d0	SW.filter entity-en.recipe string-posting_date string-!= d0
show me recipe requiring e0 posted in d1	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-posting_date string-= d1
show me meals with at least two recipes	SW.countComparative entity-en.meal SW.reverse string-meal string->= number2 entity-en.recipe
show me recipes that require longer time to cook than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipes posting date is in d0	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
show recipes with one cuisine	SW.countSuperlative entity-en.recipe string-min string-cuisine
what recipe was posted before e0 recipe	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
show me recipes posted before d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.concat )
which recipes require two or more ingredients	SW.countComparative entity-en.ingredient SW.reverse string-requires string->= number2 entity-en.recipe
recipes that have cooking time less than cooking time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what recipes preparation time is the same as e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-preparation_time
name the ingredient not required in e0	SW.filter entity-en.ingredient SW.reverse string-requires string-!= e0
what is a recipe with the most ingredients	SW.countSuperlative entity-en.recipe string-max string-cuisine
show me recipes with cooking times greater than cooking time of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what meal has two or less recipes	SW.countComparative entity-en.meal SW.reverse string-meal string-<= number2 entity-en.recipe
what ingredients does e0 need	SW.filter ( SW.filter entity-en.ingredient SW.reverse string-requires string-= e0 ) SW.reverse string-requires string-= e0
what is the total cooking time of the recipe	string-sum SW.getProperty entity-en.recipe string-cooking_time
what meal is a recipe that requires e0 for	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-requires string-= e0 )
average cooking time	string-avg SW.getProperty entity-en.recipe string-cooking_time
show me recipes without e0	SW.filter entity-en.recipe string-requires string-!= e0
show me a recipe with the same prep time as e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-preparation_time
which recipe needs longer preparation time than that of e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
ingredient required by least number of recipes	SW.countSuperlative entity-en.ingredient string-min SW.reverse string-requires entity-en.recipe
which recipes require at most two ingredients	SW.countComparative entity-en.recipe string-requires string-<= number2 entity-en.ingredient
which recipes have at least 2 cuisines	SW.countComparative entity-en.recipe string-cuisine string->= number2
how many ingredients does that require	.size entity-en.ingredient
show me recipes that have the same preparation time as e0	SW.filter entity-en.recipe string-preparation_time string-= SW.getProperty e0 string-preparation_time
show me recipes that have a cooking time equal to the preparation time of e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-preparation_time
what are the ingredients needed for recipes posted in d0	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
what recipe requires e0	SW.filter entity-en.ingredient SW.reverse string-requires string-= ( SW.filter entity-en.recipe string-requires string-= e0 )
which recipe requires the least cooking time	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-cooking_time
show recipes that at most have two cuisine	SW.countComparative entity-en.recipe string-cuisine string-<= number2
what ingredient is in over two recipes	SW.countComparative entity-en.ingredient SW.reverse string-requires string-> number2 entity-en.recipe
what is a meal other than e0	SW.filter entity-en.meal SW.reverse string-meal string-!= e0
what recipes share ingredients	SW.countComparative entity-en.ingredient SW.reverse string-requires string-= number2 entity-en.recipe
what meal is the recipe posted in d0	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-posting_date string-= d0 )
what recipes posting date is greater than d0 or d1	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.concat )
what recipes posted in d0 require e0	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-posting_date string-= d0
which ingredient is needed in the least number of recipes	SW.countSuperlative entity-en.ingredient string-min SW.reverse string-requires entity-en.recipe
what recipe is found in two different meals	SW.countComparative entity-en.recipe string-meal string-= number2 entity-en.meal
show me all the recipes posted after d0	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.concat )
show me recipes with cooking time equal to e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-cooking_time
what recipes have the most ingredients	SW.countSuperlative entity-en.recipe string-max string-requires entity-en.ingredient
which recipe posted in d0 needs e0 for preparation	SW.filter ( SW.filter entity-en.recipe string-requires string-= e0 ) string-posting_date string-= d0
find a meal without e0	SW.filter entity-en.meal SW.reverse string-meal string-!= e0
what meals does e0 not go with	SW.filter entity-en.meal SW.reverse string-meal string-!= e0
show me recipes that fall under two cuisines or less	SW.countComparative entity-en.recipe string-cuisine string-<= number2
single ingredient recipe	SW.countComparative entity-en.recipe string-requires string-< number2 entity-en.ingredient
what recipes posting date is not in d0	SW.filter entity-en.recipe string-posting_date string-!= d0
what recipe is for a meal for two	SW.countComparative entity-en.meal SW.reverse string-meal string->= number2 entity-en.recipe
what recipe has the fewest number of cuisine	SW.countSuperlative entity-en.recipe string-min string-cuisine
which ingredient is needed by many recipes	SW.countSuperlative entity-en.ingredient string-max SW.reverse string-requires entity-en.recipe
which recipe has less cooking time like e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-cooking_time  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-cooking_time  )
what is a recipe whose cooking time is the same as e0	SW.filter entity-en.recipe string-cooking_time string-= SW.getProperty e0 string-cooking_time
what recipe takes the longest to prepare	SW.superlative entity-en.recipe string-max SW.ensureNumericProperty string-preparation_time
meal with e0 recipe	SW.filter entity-en.meal SW.reverse string-meal string-= ( SW.filter entity-en.recipe string-requires string-= e0 )
recipes for two meal	SW.countComparative entity-en.recipe string-meal string-= number2 entity-en.meal
show recipes posted on dates between d0 and d1	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.concat )
find the recipes of multiple cuisine	SW.countComparative entity-en.recipe string-cuisine string->= number2
which recipes were posted up to d0 or d1	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.concat )
recipes posted till e0 is posted	SW.filter entity-en.recipe SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
what meal has e0 and e1	SW.filter entity-en.meal SW.reverse string-meal string-= SW.concat
what is the cooking time for e0	SW.getProperty e0 string-cooking_time
which recipe has the least preparation time	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-preparation_time
what is the average cooking time for that dish	string-avg SW.getProperty entity-en.recipe string-cooking_time
what recipe has the least prep time	SW.superlative entity-en.recipe string-min SW.ensureNumericProperty string-preparation_time
what is the posting date of e0	SW.getProperty e0 string-posting_date
how many recipes are there	.size entity-en.recipe
show me meals with the most recipes	SW.countSuperlative entity-en.meal string-max SW.reverse string-meal entity-en.recipe
what is the cuisine of e0	SW.getProperty e0 string-cuisine
how long does it take to prepare e0	SW.getProperty e0 string-preparation_time
show recipes that requires lesser preparation than e0	SW.filter entity-en.recipe SW.ensureNumericProperty string-preparation_time  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-preparation_time  )
find the recipes for e0	SW.filter ( SW.filter entity-en.recipe string-meal string-= e0 ) string-meal string-= e0
